@4/2/1/1/4/7/3/0/2/
#stage:0[tileset:1]
=000000000000000000000000,
|000000000000000000000000,
|000000000000000000000000,
|000000000000000000000000,
|000000000000000000000000,
|000000000000000000000000,
|000000000000000000000000,
|000000000000000000000000,
|000000000000000000000000;
#stage:1[tileset:1]
=000000000000000000000000,
|000000000000000000000000,
|000000000000000000000000,
|000000000000000000000000,
|000000000000000000000000,
|000000000000000000000000,
|000000000000000000000000,
|000000000000000000000000,
|000000000000000000000000;
#stage:2[tileset:1]
=000000000000000000000000,
|000000000000000000000000,
|000000000000000000000000,
|000000000000000000000000,
|000000000000000000000000,
|000000000000000000000000,
|000000000000000000000000,
|000000000000000000000000,
|000000000000000000000000;
#stage:3[tileset:1]
=000000000000000000000000,
|000000000000000000000000,
|000000000000000000000000,
|000000000000000000000000,
|000000000000000000000000,
|000000000000000000000000,
|000000000000000000000000,
|000000000000000000000000,
|000000000000000000000000;
#stage:4[tileset:1]
=000000000000000000000000,
|000000000000000000000000,
|000000000000000000000000,
|000000000000000000000000,
|000000000000000000000000,
|000000000000000000000000,
|000000000000000000000000,
|000000000000000000000000,
|000000000000000000000000;
#stage:5[tileset:1]
=131313010101010113131313,
|131313010101010113131313,
|131301010101010101131313,
|130101010101010101010113,
|130101010101010101010113,
|130101010101010101010101,
|131301010101010101010101,
|131313010101010101010101,
|131313131313131313131313;
#stage:6[tileset:1]
=000000000000000000000000,
|000000000000000000000000,
|000000000000000000000000,
|000000000000000000000000,
|000000000000000000000000,
|000000000000000000000000,
|000000000000000000000000,
|000000000000000000000000,
|000000000000000000000000;
#stage:7[tileset:1]
=000000000000000000000000,
|000000000000000000000000,
|000000000000000000000000,
|000000000000000000000000,
|000000000000000000000000,
|000000000000000000000000,
|000000000000000000000000,
|000000000000000000000000,
|000000000000000000000000;
